entry,name,body_size,called_functions,callers
"0x80018670","FUN_80018670","1272","FUN_80011c88;FUN_80011f10;FUN_80012d04;FUN_800141b4;FUN_80016190;FUN_8006101c;FUN_8007d254;FUN_8007df30;FUN_8008793c",""
"0x80018cbc","FUN_80018cbc","344","FUN_80011814;FUN_80011c88;FUN_800129b4",""
"0x80018e40","FUN_80018e40","1196","FUN_80011814;FUN_80011c88;FUN_80011f10;FUN_80012bc8;FUN_80012d04;FUN_800141b4;FUN_8006101c;FUN_8007df30;FUN_8008793c",""
"0x800192ec","FUN_800192ec","308","FUN_8001cb6c","FUN_80017fc8"
"0x80019420","FUN_80019420","688","FUN_8001cb6c","FUN_80017fc8"
"0x80019964","FUN_80019964","140","FUN_80079c1c",""
"0x800199f0","FUN_800199f0","108","FUN_800937c4",""
"0x80019a64","FUN_80019a64","248","FUN_80012fe4","FUN_80019bfc"
"0x80019b5c","FUN_80019b5c","160","FUN_8001cb6c",""
"0x80019bfc","FUN_80019bfc","1152","FUN_80012028;FUN_80012fe4;FUN_800137e8;FUN_80013cd4;FUN_80019a64;FUN_8002ab68",""
"0x8001a0c8","FUN_8001a0c8","88","FUN_80012fe4",""
"0x8001a16c","FUN_8001a16c","88","FUN_80012fe4",""
"0x8001a1c4","FUN_8001a1c4","352","","FUN_8001a324;FUN_8001a378;FUN_8001a3cc;FUN_8001a420"
"0x8001a324","FUN_8001a324","84","FUN_8001a1c4",""
"0x8001a378","FUN_8001a378","84","FUN_8001a1c4",""
"0x8001a3cc","FUN_8001a3cc","84","FUN_8001a1c4",""
"0x8001a420","FUN_8001a420","84","FUN_8001a1c4",""
"0x8001a490","FUN_8001a490","404","FUN_80011860",""
"0x8001a624","FUN_8001a624","236","","FUN_80017fc8"
"0x8001a790","FUN_8001a790","32","FUN_80018578",""
"0x8001b044","FUN_8001b044","296","","FUN_80017fc8"
"0x8001b16c","FUN_8001b16c","196","FUN_8007a998;FUN_8007acb8;FUN_8007f580",""
"0x8001b51c","FUN_8001b51c","612","FUN_80011814;FUN_80011a48;FUN_80011c1c;FUN_80011d44;FUN_80011dc8;FUN_80012170;FUN_800127a0",""
"0x8001b780","FUN_8001b780","560","FUN_80011814;FUN_80011a48;FUN_80011c1c;FUN_80011d44;FUN_80011dc8;FUN_80012170;FUN_80012600;FUN_800127a0;FUN_8006101c",""
"0x8001b9b0","FUN_8001b9b0","32","FUN_80018578",""
