final_psx_address,beta_psx_address,repo_function,file,line,markers,comment,mapping_status,ghidra_entry,ghidra_name,body_size,called_functions,callers,rename_candidate
0x800592fc,0x80058e80,FloorTrapDoorCollision,GAME/TRAPS.C,214,,"58E80, 592FC",mapped,0x800592fc,FUN_800592fc,684,FUN_80042440;FUN_8007ccb4;FUN_8007dcd0;FUN_8007e16c,,yes
0x800595a8,0x8005912c,CeilingTrapDoorCollision,GAME/TRAPS.C,220,,"5912C, 595A8",mapped,0x800595a8,FUN_800595a8,716,FUN_80042440;FUN_8007dcd0;FUN_8007dea4;FUN_8007e16c,,yes
0x80059874,0x800593f8,TrapDoorCollision,GAME/TRAPS.C,226,,"593F8, 59874",mapped,0x80059874,FUN_80059874,132,FUN_8007e16c,,yes
0x800598f8,0x8005947c,FallingBlockCollision,GAME/TRAPS.C,232,,"5947C, 598F8",mapped,0x800598f8,FUN_800598f8,220,FUN_80042440;FUN_800937c4,,yes
0x800599d4,0x80059558,FallingBlock,GAME/TRAPS.C,238,F,"59558, 599D4 (F)",mapped,0x800599d4,FUN_800599d4,284,FUN_80035194;FUN_80041da4;FUN_8005f6d0,,yes
0x80059af0,0x80059674,FallingBlockFloor,GAME/TRAPS.C,278,F,"59674, 59AF0 (F)",repo_only,,,,,,
0x80059b50,0x800596d4,FallingBlockCeiling,GAME/TRAPS.C,625,F,"596D4, 59B50 (F)",repo_only,,,,,,
0x80059b9c,0x80059720,FallingCeiling,GAME/TRAPS.C,297,,"59720, 59B9C",mapped,0x80059b9c,FUN_80059b9c,364,FUN_800422ec;FUN_8007a998;FUN_8007acb8;FUN_8007e64c;FUN_8007ef48,,yes
0x80059d08,0x8005988c,DartEmitterControl,GAME/TRAPS.C,305,,"5988C, 59D08",mapped,0x80059d08,FUN_80059d08,584,FUN_80033ab8;FUN_80042000;FUN_80042040;FUN_80042440;FUN_8005f6d0;FUN_800937c4,,yes
0x80059f50,0x80059ad4,DartsControl,GAME/TRAPS.C,311,,"59AD4, 59F50",mapped,0x80059f50,FUN_80059f50,580,FUN_80033ab8;FUN_80041da4;FUN_8005f6d0;FUN_8007a998;FUN_8007acb8;FUN_8007e64c;FUN_8008f178,,yes
0x8005a194,0x80059d18,FlameEmitterControl,GAME/TRAPS.C,317,,"59D18, 5A194",mapped,0x8005a194,FUN_8005a194,1188,FUN_800333ac;FUN_8005b160;FUN_8005f6d0;FUN_8005fa4c;FUN_8007df70;FUN_8008d254;FUN_80091e68;FUN_800937c4,,yes
0x8005a638,0x8005a1bc,FlameEmitter2Control,GAME/TRAPS.C,323,F,"5A1BC, 5A638 (F)",mapped,0x8005a638,FUN_8005a638,464,FUN_8001f9e8;FUN_8005f6d0;FUN_8005fa4c;FUN_8008d254;FUN_80091e68;FUN_800937c4,,yes
0x8005a808,0x8005a38c,FlameEmitter3Control,GAME/TRAPS.C,377,,"5A38C, 5A808",mapped,0x8005a808,FUN_8005a808,1760,FUN_8003571c;FUN_8005b160;FUN_8005f6d0;FUN_8005fa4c;FUN_8007df70;FUN_8008ea9c;FUN_800908a4;FUN_80091e68;FUN_800937c4,,yes
0x8005aee8,0x8005aa6c,FlameControl,GAME/TRAPS.C,383,F,"5AA6C, 5AEE8 (F)",mapped,0x8005aee8,FUN_8005aee8,632,FUN_8001e748;FUN_800425cc;FUN_80042774;FUN_8005f6d0;FUN_80087a9c;FUN_8008ea9c;FUN_80091e68;FUN_800937c4,,yes
0x8005b160,0x8005ace4,LaraBurn,GAME/TRAPS.C,447,F,"5ACE4, 5B160 (F)",mapped,0x8005b160,FUN_8005b160,148,FUN_80042534,FUN_800347d0;FUN_80044414;FUN_80053d34;FUN_8005a194;FUN_8005a808;FUN_8005b1f4;FUN_8005cd38;FUN_8008a55c,yes
0x8005b1f4,0x8005ad78,LavaBurn,GAME/TRAPS.C,460,F,"5AD78, 5B1F4 (F)",mapped,0x8005b1f4,FUN_8005b1f4,144,FUN_8005b160;FUN_8007a998;FUN_8007acb8,FUN_8001ec10,yes
0x8005b284,0x8005ae08,ControlRollingBall,GAME/TRAPS.C,476,,"5AE08, 5B284",mapped,0x8005b284,FUN_8005b284,2376,FUN_8001ebc8;FUN_8005f6d0;FUN_8005fa4c;FUN_80079a20;FUN_80079a84;FUN_8007a998;FUN_8007acb8;FUN_8007e64c,,yes
0x8005bbcc,0x8005b750,RollingBallCollision,GAME/TRAPS.C,482,<;F,"5B750(<), 5BBCC (F)",mapped,0x8005bbcc,FUN_8005bbcc,260,FUN_800560dc;FUN_8005fa4c;FUN_8007e044;FUN_8007e16c,,yes
0x8005bcd0,0x8005b854,DrawScaledSpike,GAME/TRAPS.C,511,,"5B854, 5BCD0",mapped,0x8005bcd0,FUN_8005bcd0,556,FUN_80078514;FUN_80078564;FUN_800785ac;FUN_800786e0;FUN_80078788;FUN_80078848;FUN_80078b58;FUN_80079d8c;FUN_80080f08;FUN_80087870;FUN_800885f0,,yes
0x8005befc,0x8005ba80,TwoBlockPlatformFloor,GAME/TRAPS.C,517,F,"5BA80, 5BEFC (F)",mapped,0x8005befc,FUN_8005befc,136,FUN_8005bffc,FUN_8005c0f8,yes
0x8005bf84,0x8005bb08,TwoBlockPlatformCeiling,GAME/TRAPS.C,75,F,"5BB08, 5BF84 (F)",mapped,0x8005bf84,FUN_8005bf84,120,FUN_8005bffc,,yes
0x8005bffc,0x8005bb80,OnTwoBlockPlatform,GAME/TRAPS.C,530,F,"5BB80, 5BFFC (F)",mapped,0x8005bffc,FUN_8005bffc,252,,FUN_8005befc;FUN_8005bf84,yes
0x8005c0f8,0x8005bc7c,ControlTwoBlockPlatform,GAME/TRAPS.C,556,,"5BC7C, 5C0F8",mapped,0x8005c0f8,FUN_8005c0f8,488,FUN_8005befc;FUN_8005fa4c;FUN_8007a998;FUN_8007acb8;FUN_8007e64c;FUN_800937c4,,yes
0x8005c2e0,0x8005be64,TestBoundsCollideTeethSpikes,GAME/TRAPS.C,562,<;<;F,"5BE64(<), 5C2E0(<) (F)",mapped,0x8005c2e0,FUN_8005c2e0,412,FUN_8008790c,FUN_8005c47c,yes
0x8005c47c,0x8005c000,ControlScaledSpike,GAME/TRAPS.C,642,,"5C000, 5C47C",mapped,0x8005c47c,FUN_8005c47c,1388,FUN_8005c2e0;FUN_8005f6d0;FUN_8005fa4c;FUN_8007a998;FUN_8007acb8;FUN_8008790c;FUN_8008f1fc;FUN_800937c4,,yes
0x8005c9e8,0x8005c56c,ControlRaisingBlock,GAME/TRAPS.C,648,,"5C56C, 5C9E8",mapped,0x8005c9e8,FUN_8005c9e8,848,FUN_8001e5f8;FUN_8005fa4c;FUN_800937c4,,yes
0x8005cd38,0x8005c8bc,ControlExplosion,GAME/TRAPS.C,654,,"5C8BC, 5CD38",mapped,0x8005cd38,FUN_8005cd38,1884,FUN_800209f0;FUN_80024f2c;FUN_80036f3c;FUN_80041da4;FUN_800433e0;FUN_80044414;FUN_8004f214;FUN_800563ec;FUN_8005b160;FUN_8005f6d0;FUN_8005fa4c;FUN_80079a20;FUN_8007e9ac;FUN_80087a9c;FUN_8008d2e0;FUN_8008e3a0;FUN_800937c4,,yes
0x8005d494,0x8005d018,TriggerAlertLight,GAME/OBJLIGHT.C,17,,"5D018, 5D494",mapped,0x8005d494,FUN_8005d494,256,FUN_8007a998;FUN_8007b4a4;FUN_80091e68,FUN_8005d594,yes
0x8005d594,0x8005d118,ControlStrobeLight,GAME/OBJLIGHT.C,22,<,"5D118(<), 5D594 ///@FIXME im not sure this is correct redo this",mapped,0x8005d594,FUN_8005d594,316,FUN_8005d494;FUN_8005fa4c;FUN_80091e68,,yes
0x8005d6d0,0x8005d254,ControlPulseLight,GAME/OBJLIGHT.C,57,<;F,"5D254(<), 5D6D0 (F)",mapped,0x8005d6d0,FUN_8005d6d0,276,FUN_8005fa4c;FUN_80091e68,,yes
