final_psx_address,beta_psx_address,repo_function,file,line,markers,comment
0x8001a420,0x8001a2ec,lara_as_intcornerr,GAME/LARA.C,1918,<;<;F,"1A2EC(<), 1A420(<) (F)"
0x8001a474,0x8001a340,lara_as_splat,GAME/LARA.C,1913,<;<;F,"1A340(<), 1A474(<) (F)"
0x8001a490,0x8001a35c,lara_as_compress,GAME/LARA.C,1883,F,"1A35C, 1A490 (F)"
0x8001a624,0x8001a4f0,lara_as_back,GAME/LARA.C,1852,<;<;F,"1A4F0(<), 1A624(<) (F)"
0x8001a710,0x8001a5dc,lara_as_null,GAME/LARA.C,1845,<;<;F,"1A5DC(<), 1A710(<) (F)"
0x8001a72c,0x8001a5f8,lara_as_fastturn,GAME/LARA.C,1816,<;<;F,"1A5F8(<), 1A72C(<) (F)"
0x8001a790,0x8001a65c,lara_col_fastturn,GAME/LARA.C,1811,<;<;F,"1A65C(<), 1A790(<) (F)"
0x8001a7b0,0x8001a67c,lara_as_stepright,GAME/LARA.C,1780,<;<;F,"1A67C(<), 1A7B0(<) (F)"
0x8001a884,0x8001a750,lara_as_stepleft,GAME/LARA.C,1749,<;<;F,"1A750(<), 1A884(<) (F)"
0x8001a958,0x8001a824,lara_as_slide,GAME/LARA.C,1741,<;<;F,"1A824(<), 1A958(<) (F)"
0x8001a988,0x8001a854,lara_as_backjump,GAME/LARA.C,1721,<;<;F,"1A854(<), 1A988(<) (F)"
0x8001a9f8,0x8001a8c4,lara_as_rightjump,GAME/LARA.C,1704,<;<;F,"1A8C4(<), 1A9F8(<) (F)"
0x8001aa60,0x8001a92c,lara_as_leftjump,GAME/LARA.C,1687,<;<;F,"1A92C(<), 1AA60(<) (F)"
0x8001ab14,0x8001a9e0,lara_as_slideback,GAME/LARA.C,1669,<;<;F,"1A9E0(<), 1AB14(<) (F)"
0x8001ab38,0x8001aa04,lara_as_pushblock,GAME/LARA.C,1659,<;<;F,"1AA04(<), 1AB38(<) (F)"
0x8001ab94,0x8001aa60,lara_as_pullblock,GAME/LARA.C,1649,<;<;F,"1AA60(<), 1AB94(<) (F)"
0x8001abf0,0x8001aabc,lara_as_ppready,GAME/LARA.C,1640,<;<;F,"1AABC(<), 1ABF0(<) (F)"
0x8001ac34,0x8001ab00,lara_as_pickup,GAME/LARA.C,1630,<;<;F,"1AB00(<), 1AC34(<) (F)"
