final_psx_address,beta_psx_address,repo_function,file,line,markers,comment
0x8001c68c,0x8001c558,lara_col_fastdive,GAME/LARA.C,737,<;<;F,"1C558(<), 1C68C(<) (F)"
0x8001c750,0x8001c61c,lara_col_wade,GAME/LARA.C,671,F,"1C61C, 1C750 (F)"
0x8001c940,0x8001c80c,lara_default_col,GAME/LARA.C,660,<;<;F,"1C80C(<), 1C940(<) (F)"
0x8001c994,0x8001c860,lara_col_jumper,GAME/LARA.C,636,<;<;F,"1C860(<), 1C994(<) (F)"
0x8001ca54,0x8001c920,ResetLook,GAME/LARA.C,607,F,"1C920, 1CA54 (F)"
0x8001cb6c,0x8001c9d8,LookUpDown,GAME/LARA.C,578,F,"1C9D8, 1CB6C (F)"
0x8001cd14,0x8001cb80,LookLeftRight,GAME/LARA.C,549,F,"1CB80, 1CD14 (F)"
0x8001cebc,0x8001cd28,GetTighRopeFallOff,GAME/LARA.C,535,F,"1CD28, 1CEBC (F)"
0x8001cf7c,0x8001cde8,lara_as_trpose,GAME/LARA.C,500,<;<;F,"1CDE8(<), 1CF7C(<) (F)"
0x8001d070,0x8001cedc,lara_as_trwalk,GAME/LARA.C,462,F,"1CEDC, 1D070 (F)"
0x8001d1d0,0x8001d03c,lara_as_trfall,GAME/LARA.C,385,F,"1D03C, 1D1D0 (F)"
0x8001d3b4,0x8001d220,lara_as_parallelbars,GAME/LARA.C,377,<;<;F,"1D220(<), 1D3B4(<) (F)"
0x8001d3d8,0x8001d244,lara_as_pbleapoff,GAME/LARA.C,341,F,"1D244, 1D3D8 (F)"
0x8001d5b4,0x8001d420,KillMoveItems,GAME/CONTROL.C,1444,<;<;F,"1D420(<), 1D5B4(<) (F)"
0x8001d640,0x8001d4ac,KillMoveEffects,GAME/CONTROL.C,1471,<;<;F,"1D4AC(<), 1D640(<) (F)"
0x8001e5f8,0x8001e3e4,AlterFloorHeight,GAME/CONTROL.C,3317,<;<;F,"1E3E4(<), 1E5F8(<) (F)"
0x8001e7fc,0x8001e7fc,RefreshCamera,GAME/CONTROL.C,3118,F,"1E7FC, ? (F)"
0x8001ebc8,0x8001e9b4,TestTriggers,GAME/CONTROL.C,1494,F,"1E9B4, 1EBC8(F)"
0x8001ec10,0x8001e9fc,_TestTriggers,GAME/CONTROL.C,2450,<;<;F,"1E9FC(<), 1EC10(<) (F)"
0x8001fb4c,0x8001f938,RemoveRoomFlipItems,GAME/CONTROL.C,2398,<;<;F,"1F938(<), 1FB4C(<) (F)"
0x8001fc20,0x8001fa0c,AddRoomFlipItems,GAME/CONTROL.C,4100,<;<;F,"1FA0C(<), 1FC20(<) (F)"
0x800209f0,0x800207dc,ExplodeItemNode,GAME/CONTROL.C,2298,<;<;F,"207DC(<), 209F0(<) (F)"
0x80020af0,0x80020af0,InterpolateAngle,GAME/CONTROL.C,2239,<;F,20AF0(<) ? (F)
0x80020b48,0x80020b48,ResetGuards,GAME/CONTROL.C,2065,<,"20B48(<), ?"
0x80020bb8,0x800209ac,CheckGuardOnTrigger,GAME/CONTROL.C,2263,<;<;F,"209AC(<), 20BB8(<) (F)"
0x80020f9c,0x80020d90,InitCutPlayed,GAME/CONTROL.C,2059,F,"20D90, 20F9C (F)"
0x80020fac,0x80020da0,SetCutPlayed,GAME/CONTROL.C,2051,<;<;F,"20DA0(<), 20FAC(<) (F)"
