priority_rank,bucket,score,final_psx_address,beta_psx_address,repo_function,file,line,status,markers,mapping_status,ghidra_entry,ghidra_name,body_size,caller_count,callee_count,runtime_focus,nd,reason,next_step
57,P1,3338,0x8005e7a0,0x8005e7a0,S_PlayFMV,SPEC_PSXPC_N/MOVIE.C,6,decompiled,,mapped,0x8005e7a0,FUN_8005e7a0,1088,3,24,no,no,adresse Ghidra disponible; 3 caller(s); 24 callee(s); body_size 1088; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
58,P1,3335,0x80052984,0x80052520,PuzzleHoleCollision,GAME/PICKUP.C,217,decompiled,,mapped,0x80052984,FUN_80052984,1780,0,13,no,no,adresse Ghidra disponible; 13 callee(s); body_size 1780; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
59,P1,3328,0x80063df4,0x80063718,Requester,SPEC_PSXPC/REQUEST.C,12,decompiled,,mapped,0x80063df4,FUN_80063df4,2028,1,10,no,no,adresse Ghidra disponible; 1 caller(s); 10 callee(s); body_size 2028; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
60,P1,3290,0x8004ba6c,0x8004b608,LaraSwimCollision,GAME/LARASWIM.C,753,decompiled,,mapped,0x8004ba6c,FUN_8004ba6c,1260,6,6,no,no,adresse Ghidra disponible; 6 caller(s); 6 callee(s); body_size 1260; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
61,P1,3261,0x8008793c,0x800858f8,GetBoundsAccurate,SPEC_PSXPC/CALCLARA.C,20,decompiled,,mapped,0x8008793c,FUN_8008793c,116,19,1,no,no,adresse Ghidra disponible; 19 caller(s); 1 callee(s); body_size 116; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
62,P1,3175,0x8005a808,0x8005a38c,FlameEmitter3Control,GAME/TRAPS.C,377,decompiled,,mapped,0x8005a808,FUN_8005a808,1760,0,9,no,no,adresse Ghidra disponible; 9 callee(s); body_size 1760; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
63,P1,3158,0x8005e7a0,0x8005e7a0,S_PlayFMV,SPEC_PSX/MOVIE.C,6,decompiled,,mapped,0x8005e7a0,FUN_8005e7a0,1088,3,24,no,no,adresse Ghidra disponible; 3 caller(s); 24 callee(s); body_size 1088; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
64,P1,3122,0x800785d0,0x8007658c,mTranslateXYZ,SPEC_PSXPC_N/MATHS.C,305,decompiled,,mapped,0x800785d0,FUN_800785d0,272,15,0,no,no,adresse Ghidra disponible; 15 caller(s); body_size 272; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
65,P1,3118,0x8005e7a0,0x8005e7a0,S_PlayFMV,SPEC_PSXPC/MOVIE.C,5,decompiled,,mapped,0x8005e7a0,FUN_8005e7a0,1088,3,24,no,no,adresse Ghidra disponible; 3 caller(s); 24 callee(s); body_size 1088; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
66,P1,3075,0x800645e0,0x80063f04,DrawPhaseGame,SPEC_PSXPC/DRAWPHAS.C,49,decompiled,,mapped,0x800645e0,FUN_800645e0,1340,2,19,no,no,adresse Ghidra disponible; 2 caller(s); 19 callee(s); body_size 1340; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
67,P1,3056,0x80047f8c,0x80047b28,LaraGetNewTarget,GAME/LARAFIRE.C,201,decompiled,,mapped,0x80047f8c,FUN_80047f8c,1576,2,4,no,no,adresse Ghidra disponible; 2 caller(s); 4 callee(s); body_size 1576; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
68,P1,3008,0x80012170,0x800120c0,TestLaraVault,GAME/LARA.C,5974,decompiled,,mapped,0x80012170,FUN_80012170,1168,5,4,no,no,adresse Ghidra disponible; 5 caller(s); 4 callee(s); body_size 1168; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
69,P1,3008,0x80040fa8,0x80040b54,do_keypad_mode,GAME/NEWINV2.C,546,decompiled,,mapped,0x80040fa8,FUN_80040fa8,1648,1,4,no,no,adresse Ghidra disponible; 1 caller(s); 4 callee(s); body_size 1648; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
70,P1,2967,0x80083548,0x80081504,CalcAnimatingItem_ASM,SPEC_PSXPC_N/ANIMITEM.C,1847,decompiled,,mapped,0x80083548,FUN_80083548,992,1,23,no,no,adresse Ghidra disponible; 1 caller(s); 23 callee(s); body_size 992; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
71,P1,2922,0x80061340,0x8006080c,DisplayConfig,SPEC_PSXPC/SPECIFIC.C,119,decompiled,,mapped,0x80061340,FUN_80061340,1832,1,4,no,no,adresse Ghidra disponible; 1 caller(s); 4 callee(s); body_size 1832; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
72,P1,2902,0x800785d0,0x8007658c,mTranslateXYZ,SPEC_PSXPC/MATHS.C,194,decompiled,,mapped,0x800785d0,FUN_800785d0,272,15,0,no,no,adresse Ghidra disponible; 15 caller(s); body_size 272; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
73,P1,2845,0x80026a48,0x80026838,CombatCamera,GAME/CAMERA.C,1601,decompiled,,mapped,0x80026a48,FUN_80026a48,1380,1,7,no,no,adresse Ghidra disponible; 1 caller(s); 7 callee(s); body_size 1380; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
74,P1,2768,0x8005c47c,0x8005c000,ControlScaledSpike,GAME/TRAPS.C,642,decompiled,,mapped,0x8005c47c,FUN_8005c47c,1388,0,8,no,no,adresse Ghidra disponible; 8 callee(s); body_size 1388; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
75,P1,2727,0x8004878c,0x80048328,FireWeapon,GAME/LARAFIRE.C,185,decompiled,,mapped,0x8004878c,FUN_8004878c,952,3,9,no,no,adresse Ghidra disponible; 3 caller(s); 9 callee(s); body_size 952; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
